Species	Accession	Country	Collection_year	Isolation_source	Host
V_cholerae	GCF_008369605.1				
V_cholerae	GCF_000765415.1				
V_cholerae	GCF_000788715.2				
V_cholerae	GCF_000969235.1				
V_cholerae	GCF_000969265.1				
V_cholerae	GCF_001045415.1				
V_cholerae	GCF_001250235.2				
V_cholerae	GCF_001854425.1				
V_cholerae	GCF_001887395.1				
V_cholerae	GCF_001887415.1				
V_cholerae	GCF_001887615.1				
V_cholerae	GCF_001887635.1				
V_cholerae	GCF_001887655.1				
V_cholerae	GCF_002073335.2				
V_cholerae	GCF_002313005.1				
V_cholerae	GCF_002313025.1				
V_cholerae	GCF_002749635.1				
V_cholerae	GCF_002892855.1				
V_cholerae	GCF_002997215.1				
V_cholerae	GCF_003063785.1				
V_cholerae	GCF_001887435.1				
V_cholerae	GCF_001887455.1				
V_cholerae	GCF_001887475.1				
V_cholerae	GCF_001887495.1				
V_cholerae	GCF_001887515.1				
V_cholerae	GCF_001887615.1				
V_cholerae	GCF_001887635.1				
V_cholerae	GCF_001887655.1				
V_cholerae	GCF_002073335.2				
V_cholerae	GCF_002313005.1				
V_alginolyticus	GCF_002953515.1				
V_alginolyticus	GCF_002953535.1				
V_alginolyticus	GCF_002953975.1				
V_alginolyticus	GCF_003613035.1				
V_alginolyticus	GCF_003613065.1				
V_alginolyticus	GCF_009665435.1				
V_alginolyticus	GCF_009763085.1				
V_alginolyticus	GCF_009763745.1				
V_alginolyticus	GCF_009763845.1				
V_alginolyticus	GCF_011801435.1				
V_alginolyticus	GCF_023650915.1				
V_alginolyticus	GCF_001469735.1				
V_alginolyticus	GCF_001679745.1				
V_alginolyticus	GCF_002119505.2				
V_alginolyticus	GCF_002119545.1				
V_alginolyticus	GCF_002119565.1				
V_alginolyticus	GCF_002119585.1				
V_alginolyticus	GCF_002149065.1				
V_alginolyticus	GCF_002149085.1				
V_alginolyticus	GCF_002149105.1				
V_alginolyticus	GCF_009665435.1				
V_alginolyticus	GCF_009763085.1				
V_alginolyticus	GCF_009763745.1				
V_alginolyticus	GCF_009763845.1				
V_alginolyticus	GCF_011801435.1				
V_alginolyticus	GCF_012151155.1				
V_alginolyticus	GCF_012151295.1				
V_alginolyticus	GCF_012151455.1				
V_alginolyticus	GCF_012151595.1				
V_alginolyticus	GCF_013368735.1				
V_parahaemolyticus	GCF_001188185.2				
V_parahaemolyticus	GCF_001244315.1				
V_parahaemolyticus	GCF_001304775.1				
V_parahaemolyticus	GCF_001433415.1				
V_parahaemolyticus	GCF_001558495.2				
V_parahaemolyticus	GCF_001636035.1				
V_parahaemolyticus	GCF_001682175.1				
V_parahaemolyticus	GCF_001700835.1				
V_parahaemolyticus	GCF_001758605.1				
V_parahaemolyticus	GCF_001879585.1				
V_parahaemolyticus	GCF_001887055.1				
V_parahaemolyticus	GCF_001996365.2				
V_parahaemolyticus	GCF_002073775.2				
V_parahaemolyticus	GCF_002209725.2				
V_parahaemolyticus	GCF_002220985.3				
V_parahaemolyticus	GCF_002290245.2				
V_parahaemolyticus	GCF_003047085.1				
V_parahaemolyticus	GCF_003076895.1				
V_parahaemolyticus	GCF_003085735.1				
V_parahaemolyticus	GCF_003119375.1				
V_parahaemolyticus	GCF_002290245.2				
V_parahaemolyticus	GCF_003047085.1				
V_parahaemolyticus	GCF_003076895.1				
V_parahaemolyticus	GCF_003085735.1				
V_parahaemolyticus	GCF_003119375.1				
V_parahaemolyticus	GCF_003351885.1				
V_parahaemolyticus	GCF_003612695.1				
V_parahaemolyticus	GCF_003612715.1				
V_parahaemolyticus	GCF_003691525.1				
V_parahaemolyticus	GCF_004006515.1				
V_vulnificus	GCF_009764115.1				
V_vulnificus	GCF_014107515.1				
V_vulnificus	GCF_014211935.1				
V_vulnificus	GCF_025994915.1				
V_vulnificus	GCF_029990625.1				
V_vulnificus	GCF_030220165.1				
V_vulnificus	GCF_031883075.1				
V_vulnificus	GCF_045348105.1				
V_vulnificus	GCF_046532655.1				
V_vulnificus	GCF_046581405.1				
V_vulnificus	GCF_003522555.1				
V_vulnificus	GCF_004319645.1				
V_vulnificus	GCF_008693685.1				
V_vulnificus	GCF_009665475.1				
V_vulnificus	GCF_009764095.1				
V_vulnificus	GCF_009764115.1				
V_vulnificus	GCF_014107515.1				
V_vulnificus	GCF_014211935.1				
V_vulnificus	GCF_025994915.1				
V_vulnificus	GCF_029990625.1				
V_vulnificus	GCF_000746665.1				
V_vulnificus	GCF_001433435.1				
V_vulnificus	GCF_001558515.2				
V_vulnificus	GCF_001653775.1				
V_vulnificus	GCF_001675245.1				
V_vulnificus	GCF_002117205.1				
V_vulnificus	GCF_002204915.1				
V_vulnificus	GCF_002215135.1				
V_vulnificus	GCF_002850455.1				
V_vulnificus	GCF_002863725.1				
